run_type,run_number,energy_joules,execution_time_sec
gpu,2,950.909912109375,46.65394
cpu,28,5134.5010986328125,106.29025
cpu,9,5440.299072265625,112.94961
cpu,5,5020.210205078125,106.25003
cpu,8,5107.0064697265625,105.74806
gpu,22,943.3519897460938,47.166927
gpu,13,944.0355224609375,47.13634
cpu,29,5126.5003662109375,105.784836
cpu,1,5094.0592041015625,105.73303
gpu,3,996.4257202148438,47.153183
cpu,19,5103.7496337890625,105.25145
gpu,18,953.4464721679688,47.167244
cpu,6,5095.013977050781,105.230286
gpu,21,952.8534545898438,47.17566
cpu,15,5094.737121582031,105.73385
gpu,12,944.5892944335938,47.221256
gpu,16,996.9546508789062,47.140606
cpu,14,5118.910095214844,105.774574
cpu,3,5125.079772949219,106.292755
cpu,30,5106.033203125,105.74345
gpu,10,997.0570678710938,47.159565
cpu,12,5112.6304931640625,105.7229
gpu,15,955.4576416015625,47.151825
gpu,14,946.784912109375,47.128994
gpu,5,1120.0468139648438,47.181355
gpu,29,1002.9408569335938,47.160362
cpu,24,5101.241149902344,105.24583
cpu,11,4808.148681640625,107.24014
cpu,2,5095.345397949219,105.73974
cpu,7,5089.4193115234375,105.22735
gpu,7,952.053955078125,47.146088
gpu,26,951.526611328125,47.169125
gpu,11,946.2015991210938,47.153526
cpu,13,4800.62109375,107.250435
gpu,6,942.4052124023438,47.160076
gpu,27,947.4108276367188,47.20389
gpu,23,950.0079956054688,47.13808
cpu,25,5139.0172119140625,106.27911
cpu,23,5102.4683837890625,105.73657
gpu,1,946.115966796875,47.161274
cpu,22,5116.491271972656,105.742294
cpu,21,5129.763610839844,106.26209
gpu,24,955.1167602539062,47.190212
cpu,27,5125.074157714844,105.73723
gpu,19,951.6829223632812,47.15323
gpu,4,951.9063720703125,47.133286
gpu,20,953.0360107421875,47.140293
gpu,25,955.1654663085938,47.118614
gpu,8,953.0640258789062,47.12855
cpu,26,5154.5511474609375,106.251816
cpu,20,5082.222839355469,105.71994
gpu,30,996.2891845703125,47.1503
gpu,28,948.3162231445312,47.145348
cpu,4,5157.964294433594,105.77909
cpu,16,5104.183776855469,105.76332
gpu,17,950.969970703125,47.160107
cpu,18,5123.229797363281,105.74144
